category,product,product_url,cover_id,cover_name,cover_pattern,price
recliners,Collage Rocking Recliner,/p/living-room/recliners/rocking-recliners/collage-rocking-recliner/R-010734,C165962,Smoke,McKittrick,499.0
recliners,Collage Rocking Recliner,/p/living-room/recliners/rocking-recliners/collage-rocking-recliner/R-010734,C165967,Charcoal,McKittrick,499.0
recliners,Collage Rocking Recliner,/p/living-room/recliners/rocking-recliners/collage-rocking-recliner/R-010734,C165972,Taupe,McKittrick,499.0
recliners,Collage Rocking Recliner,/p/living-room/recliners/rocking-recliners/collage-rocking-recliner/R-010734,C165986,Indigo,McKittrick,499.0
recliners,Joshua Rocking Recliner,/p/living-room/recliners/rocking-recliners/joshua-rocking-recliner/R-010502,LB172856,Grey,Goshen,799.0
recliners,Joshua Rocking Recliner,/p/living-room/recliners/rocking-recliners/joshua-rocking-recliner/R-010502,LB172878,Chestnut,Goshen,799.0
recliners,Morrison Rocking Recliner,/p/living-room/recliners/rocking-recliners/morrison-rocking-recliner/R-010766,B180852,Stone,Social Club,1059.0
recliners,Morrison Rocking Recliner,/p/living-room/recliners/rocking-recliners/morrison-rocking-recliner/R-010766,B153853,Silver,Seamount,1119.0
recliners,Morrison Rocking Recliner,/p/living-room/recliners/rocking-recliners/morrison-rocking-recliner/R-010766,B153874,Sable,Seamount,1119.0
recliners,Morrison Rocking Recliner,/p/living-room/recliners/rocking-recliners/morrison-rocking-recliner/R-010766,B153885,Indigo,Seamount,1119.0
recliners,Morrison Rocking Recliner,/p/living-room/recliners/rocking-recliners/morrison-rocking-recliner/R-010766,B153876,Cappuccino,Seamount,1119.0
recliners,Morrison Rocking Recliner,/p/living-room/recliners/rocking-recliners/morrison-rocking-recliner/R-010766,B153808,Burgundy,Seamount,1119.0
recliners,Morrison Rocking Recliner,/p/living-room/recliners/rocking-recliners/morrison-rocking-recliner/R-010766,C186086,Lake,Persia,1569.0
recliners,Liam Rocking Recliner,/p/living-room/recliners/rocking-recliners/liam-rocking-recliner/R-010786,B153808,Burgundy,Seamount,599.0
recliners,Liam Rocking Recliner,/p/living-room/recliners/rocking-recliners/liam-rocking-recliner/R-010786,C185265,Fawn,Tiago,599.0
recliners,Liam Rocking Recliner,/p/living-room/recliners/rocking-recliners/liam-rocking-recliner/R-010786,C185255,Granite,Tiago,599.0
recliners,Liam Rocking Recliner,/p/living-room/recliners/rocking-recliners/liam-rocking-recliner/R-010786,C185252,Twilight,Tiago,599.0
recliners,Liam Rocking Recliner,/p/living-room/recliners/rocking-recliners/liam-rocking-recliner/R-010786,C185276,Mocha,Tiago,599.0
recliners,Liam Rocking Recliner,/p/living-room/recliners/rocking-recliners/liam-rocking-recliner/R-010786,C185286,Navy,Tiago,599.0
recliners,Vail Rocking Recliner,/p/living-room/recliners/rocking-recliners/vail-rocking-recliner/R-010403,B153808,Burgundy,Seamount,989.0
recliners,Vail Rocking Recliner,/p/living-room/recliners/rocking-recliners/vail-rocking-recliner/R-010403,C186008,Wine,Persia,989.0
recliners,Vail Rocking Recliner,/p/living-room/recliners/rocking-recliners/vail-rocking-recliner/R-010403,C186086,Lake,Persia,989.0
recliners,Vail Rocking Recliner,/p/living-room/recliners/rocking-recliners/vail-rocking-recliner/R-010403,C186054,Greystone,Persia,989.0
recliners,Vail Rocking Recliner,/p/living-room/recliners/rocking-recliners/vail-rocking-recliner/R-010403,C186036,Desert,Persia,989.0
recliners,Vail Rocking Recliner,/p/living-room/recliners/rocking-recliners/vail-rocking-recliner/R-010403,C186076,Bark,Persia,989.0
recliners,Norton Rocking Recliner,/p/living-room/recliners/rocking-recliners/norton-rocking-recliner/R-010820,B180852,Stone,Social Club,1049.0
recliners,Norton Rocking Recliner,/p/living-room/recliners/rocking-recliners/norton-rocking-recliner/R-010820,B180857,Charcoal,Social Club,1049.0
recliners,Norton Rocking Recliner,/p/living-room/recliners/rocking-recliners/norton-rocking-recliner/R-010820,B180868,Pewter,Social Club,1049.0
recliners,Norton Rocking Recliner,/p/living-room/recliners/rocking-recliners/norton-rocking-recliner/R-010820,B180872,Chalk,Social Club,1049.0
recliners,Norton Rocking Recliner,/p/living-room/recliners/rocking-recliners/norton-rocking-recliner/R-010820,B180876,Cocoa,Social Club,1049.0
recliners,Norton Rocking Recliner,/p/living-room/recliners/rocking-recliners/norton-rocking-recliner/R-010820,C202907,Brick,Easy,1049.0
recliners,Pinnacle Power Rocking Recliner w/ Headrest & Lumbar,/p/living-room/recliners/rocking-recliners/pinnacle-power-rocking-recliner-w-headrest-lumbar/R-10X512,B153808,Burgundy,Seamount,1099.0
recliners,Pinnacle Power Rocking Recliner w/ Headrest & Lumbar,/p/living-room/recliners/rocking-recliners/pinnacle-power-rocking-recliner-w-headrest-lumbar/R-10X512,D160654,Dove,i-Halifax,1099.0
recliners,Pinnacle Power Rocking Recliner w/ Headrest & Lumbar,/p/living-room/recliners/rocking-recliners/pinnacle-power-rocking-recliner-w-headrest-lumbar/R-10X512,D160632,Shell,i-Halifax,1099.0
recliners,Pinnacle Power Rocking Recliner w/ Headrest & Lumbar,/p/living-room/recliners/rocking-recliners/pinnacle-power-rocking-recliner-w-headrest-lumbar/R-10X512,D160678,Java,i-Halifax,1099.0
